EmployeeID,Age,Gender,Department,City,YearsExperience,MonthlySalary,PerformanceScore,Attrition,TrueSegment
3079,26.0,Female,Marketing,Houston,4.0,34127.96,3,No,0
3080,27.0,Female,HR,Los Angeles,6.0,31917.28,1,Yes,0
3081,54.0,Male,Marketing,Phoenix,29.0,100571.83,3,No,2
3082,38.0,Male,IT,Phoenix,17.0,68049.07,4,No,1
3083,22.0,Female,Finance,Phoenix,0.0,27846.92,2,Yes,0
3084,28.0,Male,Sales,New York,6.0,35965.67,3,No,0
3085,28.0,Female,HR,Phoenix,6.0,31834.62,2,No,0
3086,24.0,Male,Sales,Los Angeles,2.0,35090.96,4,No,0
3087,31.0,Male,IT,Los Angeles,11.0,63748.6,5,No,1
3088,38.0,Female,Finance,Chicago,16.0,68070.52,4,No,1
3089,49.0,Male,HR,New York,28.0,104215.23,5,No,2
3090,43.0,Female,HR,Los Angeles,18.0,60821.52,2,No,1
3091,29.0,Male,IT,Houston,6.0,34434.14,2,Yes,0
3092,26.0,Female,Marketing,New York,4.0,56033.33,4,No,1
3093,32.0,Male,Marketing,New York,9.0,57339.31,3,No,1
3094,31.0,Male,Sales,Los Angeles,11.0,64187.48,4,No,1
3095,37.0,Male,IT,Houston,10.0,53569.07,2,No,1
3096,35.0,Male,Sales,Chicago,15.0,67873.28,4,No,1
3097,42.0,Male,Marketing,Los Angeles,18.0,65590.82,2,No,1
3098,33.0,Female,Finance,Houston,12.0,63295.11,4,No,1
3099,29.0,Male,Marketing,New York,7.0,38349.22,1,Yes,0
3100,27.0,Female,Finance,Houston,7.0,36251.83,3,Yes,0
3101,24.0,Female,Sales,New York,1.0,35425.66,4,Yes,0
3102,34.0,Female,Finance,Los Angeles,11.0,67782.76,4,No,1
3103,26.0,Male,Finance,Los Angeles,4.0,33588.8,2,Yes,0
3104,29.0,Female,IT,Phoenix,7.0,59019.72,4,No,1
3105,42.0,Male,Sales,Phoenix,17.0,92922.96,5,No,2
3106,29.0,Female,Marketing,Phoenix,8.0,36452.79,2,Yes,0
3107,35.0,Female,HR,Los Angeles,14.0,67415.02,3,No,1
3108,42.0,Female,Marketing,Chicago,17.0,69600.36,4,Yes,1
3109,24.0,Female,Sales,Los Angeles,2.0,34124.94,4,Yes,0
3110,30.0,Female,HR,Houston,8.0,36673.46,2,Yes,0
3111,29.0,Male,IT,Los Angeles,5.0,31986.07,2,Yes,0
3112,29.0,Female,IT,Los Angeles,7.0,39895.37,4,No,0
3113,48.0,Female,Finance,New York,24.0,92337.23,4,No,2
3114,46.0,Male,IT,New York,27.0,103520.11,3,No,2
3115,35.0,Male,Finance,New York,15.0,69493.67,4,No,1
3116,49.0,Male,Sales,Los Angeles,27.0,101493.22,4,No,2
3117,52.0,Female,IT,Chicago,30.0,106795.21,3,No,2
3118,26.0,Female,Sales,Houston,4.0,27671.49,1,No,0
3119,53.0,Female,HR,Houston,31.0,116610.5,4,No,2
3120,35.0,Female,Finance,Chicago,14.0,59952.31,3,Yes,1
3121,45.0,Female,IT,Chicago,27.0,108202.25,5,No,2
3122,50.0,Female,Finance,Houston,29.0,106472.87,4,No,2
3123,27.0,Male,Marketing,Phoenix,6.0,37241.49,1,Yes,0
3124,30.0,Male,HR,New York,8.0,34742.49,2,Yes,0
3125,27.0,Female,Sales,New York,4.0,36242.15,4,No,0
3126,37.0,Female,Finance,Houston,15.0,66932.99,4,No,1
3127,47.0,Female,Finance,Chicago,27.0,104709.21,4,No,2
3128,52.0,Female,IT,Phoenix,29.0,113086.78,5,No,2
3129,25.0,Female,IT,Houston,3.0,37535.79,2,Yes,0
3130,33.0,Male,IT,New York,8.0,49119.56,3,No,1
3131,43.0,Male,IT,Los Angeles,18.0,72141.65,4,No,1
3132,25.0,Female,IT,Chicago,0.0,34950.95,1,Yes,0
3133,22.0,Male,HR,Los Angeles,0.0,35060.68,3,No,0
3134,28.0,Female,Sales,Houston,6.0,40698.43,4,Yes,0
3135,52.0,Female,Marketing,New York,30.0,104048.28,4,No,2
3136,25.0,Female,Sales,Phoenix,1.0,31167.93,2,Yes,0
3137,37.0,Male,Finance,Los Angeles,16.0,62080.89,3,No,1
3138,40.0,Male,Finance,Phoenix,15.0,63175.24,3,No,1
3139,26.0,Female,Sales,New York,3.0,30061.28,3,Yes,0
3140,50.0,Male,Finance,Los Angeles,28.0,108821.99,5,No,2
3141,49.0,Male,Finance,Phoenix,26.0,103692.95,5,No,2
3142,26.0,Female,IT,Phoenix,3.0,32894.19,3,No,0
3143,31.0,Male,IT,Los Angeles,7.0,55711.21,4,Yes,1
3144,30.0,Male,IT,New York,7.0,38539.02,3,Yes,0
3145,22.0,Female,Marketing,Phoenix,1.0,31864.87,3,No,0
3146,26.0,Female,HR,Houston,4.0,34529.3,3,Yes,0
3147,34.0,Male,IT,Los Angeles,8.0,55763.07,4,No,1
3148,43.0,Female,Marketing,Chicago,18.0,67228.52,4,No,1
3149,28.0,Male,Sales,Chicago,8.0,35840.72,2,Yes,0
3150,23.0,Female,HR,New York,0.0,26299.09,1,Yes,0
3151,49.0,Female,Finance,Houston,24.0,93299.34,5,No,2
3152,27.0,Female,HR,Phoenix,7.0,35711.73,4,No,0
3153,31.0,Female,Sales,Chicago,8.0,38995.82,2,Yes,0
3154,36.0,Male,HR,New York,14.0,60155.01,3,No,1
3155,47.0,Female,IT,Houston,24.0,105092.11,5,No,2
3156,28.0,Female,Marketing,Houston,5.0,36073.95,4,No,0
3157,41.0,Female,Finance,New York,18.0,69614.56,4,No,1
3158,35.0,Male,Finance,New York,12.0,61916.4,4,No,1
3159,24.0,Male,Marketing,Phoenix,0.0,24649.58,1,No,0
3160,38.0,Female,HR,New York,13.0,56661.25,4,No,1
3161,26.0,Female,Marketing,Phoenix,5.0,37493.75,4,No,0
3162,36.0,Female,Finance,Phoenix,14.0,65755.78,5,Yes,1
3163,33.0,Female,IT,Los Angeles,12.0,60641.48,2,Yes,1
3164,32.0,Female,Marketing,Houston,9.0,59573.36,4,No,1
3165,26.0,Female,Finance,Houston,5.0,36041.5,3,No,0
3166,41.0,Male,Sales,Houston,17.0,88882.87,4,No,2
3167,26.0,Female,IT,Los Angeles,5.0,37286.21,4,No,0
3168,21.0,Female,Sales,Phoenix,0.0,31239.78,3,Yes,0
3169,31.0,Female,Sales,Phoenix,8.0,37066.39,2,No,0
3170,42.0,Female,IT,New York,18.0,69721.32,5,No,1
3171,34.0,Female,Sales,Los Angeles,10.0,60715.98,4,Yes,1
3172,26.0,Female,HR,New York,5.0,37456.73,2,No,0
3173,26.0,Male,Marketing,Los Angeles,4.0,47938.69,3,Yes,1
3174,25.0,Male,Finance,New York,2.0,28824.46,3,Yes,0
3175,34.0,Male,IT,Chicago,6.0,50485.11,2,Yes,1
3176,27.0,Male,Sales,Houston,3.0,32719.05,1,Yes,0
3177,36.0,Male,HR,Houston,14.0,66608.66,3,No,1
3178,35.0,Male,IT,Phoenix,12.0,57961.95,3,No,1
3179,47.0,Female,IT,Chicago,29.0,110610.97,4,No,2
3180,25.0,Female,IT,Houston,3.0,36511.99,3,No,0
3181,28.0,Female,Marketing,Phoenix,5.0,39496.73,1,Yes,0
3182,24.0,Female,HR,Chicago,3.0,35114.26,3,No,0
3183,48.0,Female,Finance,Houston,25.0,105302.69,3,No,2
3184,49.0,Female,Sales,New York,26.0,99676.36,3,No,2
3185,22.0,Male,Finance,Los Angeles,0.0,27782.72,2,Yes,0
3186,38.0,Female,Sales,Chicago,17.0,68709.62,3,No,1
3187,53.0,Male,IT,Phoenix,29.0,104615.92,4,No,2
3188,35.0,Male,HR,Chicago,14.0,66806.1,4,No,1
3189,33.0,Female,Finance,Phoenix,12.0,69196.74,5,No,1
3190,28.0,Female,IT,Chicago,6.0,37433.78,1,Yes,0
3191,23.0,Female,HR,Phoenix,0.0,29846.87,2,Yes,0
3192,47.0,Female,Finance,Houston,25.0,103662.92,4,No,2
3193,47.0,Female,HR,New York,26.0,105412.32,5,No,2
3194,39.0,Female,HR,Houston,17.0,70001.08,3,No,1
3195,27.0,Female,Sales,New York,4.0,38671.4,3,Yes,0
3196,26.0,Male,HR,Houston,4.0,39846.51,3,Yes,0
3197,38.0,Female,Marketing,Houston,12.0,66629.14,4,No,1
3198,51.0,Female,IT,Chicago,29.0,98118.5,3,No,2
3199,47.0,Male,IT,Los Angeles,23.0,106909.61,5,No,2
3200,38.0,Female,Finance,Phoenix,12.0,62491.43,3,No,1
3201,35.0,Female,Sales,Phoenix,12.0,60427.73,4,No,1
3202,28.0,Male,Sales,Phoenix,6.0,36668.56,2,No,0
3203,28.0,Female,IT,New York,6.0,42265.18,4,No,0
3204,46.0,Female,IT,Phoenix,24.0,103116.91,4,No,2
3205,30.0,Female,Sales,Phoenix,9.0,57521.08,4,Yes,1
3206,34.0,Female,HR,Chicago,8.0,39261.38,3,Yes,0
3207,32.0,Female,Marketing,Houston,8.0,40745.9,3,No,0
3208,34.0,Female,IT,Phoenix,9.0,55843.95,2,No,1
3209,28.0,Male,HR,Los Angeles,7.0,35257.75,3,Yes,0
3210,25.0,Female,Sales,Phoenix,3.0,26836.61,1,Yes,0
3211,42.0,Female,Marketing,New York,18.0,67522.6,5,No,1
3212,43.0,Male,IT,New York,18.0,69062.71,3,Yes,1
3213,35.0,Male,HR,New York,13.0,62453.69,4,Yes,1
3214,23.0,Female,Marketing,Phoenix,1.0,26708.09,2,Yes,0
3215,34.0,Male,Marketing,Chicago,8.0,61735.45,5,No,1
3216,24.0,Female,Sales,Los Angeles,1.0,22917.54,1,No,0
3217,26.0,Female,Finance,Phoenix,6.0,34334.21,2,No,0
3218,38.0,Male,Finance,Chicago,13.0,64551.54,4,No,1
3219,36.0,Female,IT,Chicago,12.0,60131.32,3,No,1
3220,50.0,Female,Finance,Phoenix,30.0,102950.48,4,No,2
3221,36.0,Male,Sales,Phoenix,12.0,50568.94,2,Yes,1
3222,40.0,Male,Finance,Chicago,18.0,64348.5,2,Yes,1
3223,26.0,Male,Sales,Chicago,5.0,33231.72,4,Yes,0
3224,24.0,Male,HR,Chicago,3.0,30293.64,2,No,0
3225,27.0,Female,IT,Phoenix,5.0,34584.39,3,No,0
3226,24.0,Male,Sales,Chicago,2.0,36100.53,3,No,0
3227,50.0,Male,Finance,New York,30.0,100279.02,3,No,2
3228,36.0,Male,Marketing,Phoenix,11.0,50607.88,3,No,1
3229,50.0,Male,IT,New York,30.0,109064.49,4,Yes,2
3230,44.0,Male,IT,Houston,18.0,66670.39,4,No,1
3231,45.0,Female,IT,Phoenix,21.0,93214.01,3,No,2
3232,42.0,Male,Marketing,Houston,18.0,69992.47,5,No,1
3233,35.0,Female,Finance,Chicago,9.0,63746.86,5,Yes,1
3234,36.0,Male,Finance,Chicago,12.0,71218.11,3,No,1
3235,25.0,Male,Marketing,Los Angeles,4.0,35572.33,3,No,0
3236,30.0,Male,Finance,Chicago,9.0,56853.59,4,No,1
3237,25.0,Male,HR,Houston,4.0,37787.56,4,No,0
3238,23.0,Male,Marketing,Chicago,1.0,35994.71,4,Yes,0
3239,35.0,Male,Marketing,Phoenix,11.0,56371.37,3,Yes,1
3240,27.0,Male,Marketing,Chicago,8.0,33502.41,1,Yes,0
3241,48.0,Male,IT,Los Angeles,29.0,103379.63,5,No,2
3242,50.0,Female,Sales,Chicago,28.0,105240.34,3,No,2
3243,54.0,Male,Marketing,Houston,35.0,116277.54,5,No,2
3244,25.0,Female,HR,Houston,3.0,33873.51,3,Yes,0
3245,23.0,Male,Marketing,Chicago,2.0,27208.77,2,No,0
3246,45.0,Female,IT,Houston,26.0,100729.87,4,No,2
3247,39.0,Male,IT,Houston,17.0,65227.63,3,No,1
3248,43.0,Male,Finance,Los Angeles,25.0,100715.03,5,No,2
3249,53.0,Male,Marketing,Phoenix,30.0,103152.0,4,No,2
3250,50.0,Female,Sales,Los Angeles,25.0,107593.55,5,No,2
3251,27.0,Female,Marketing,New York,5.0,36663.5,2,Yes,0
3252,31.0,Female,Sales,Los Angeles,8.0,62232.49,3,No,1
3253,51.0,Female,Finance,Chicago,29.0,110146.2,5,No,2
3254,29.0,Male,HR,Phoenix,8.0,38035.65,3,Yes,0
3255,26.0,Male,Marketing,Chicago,2.0,27157.72,2,Yes,0
3256,39.0,Male,Marketing,New York,15.0,65879.0,4,No,1
3257,52.0,Female,Marketing,Phoenix,29.0,107834.41,4,Yes,2
3258,38.0,Male,IT,Houston,14.0,67830.59,4,No,1
3259,37.0,Female,IT,Los Angeles,18.0,65093.53,2,No,1
3260,25.0,Female,Sales,Chicago,4.0,30004.58,2,No,0
3261,40.0,Female,Sales,New York,18.0,70465.76,5,Yes,1
3262,47.0,Female,Finance,Houston,25.0,102732.31,3,No,2
3263,23.0,Female,Marketing,Los Angeles,2.0,32991.58,1,Yes,0
3264,38.0,Male,IT,Houston,15.0,69283.53,4,No,1
3265,45.0,Female,Finance,Los Angeles,19.0,94239.07,5,No,2
3266,40.0,Female,Finance,Phoenix,18.0,73207.73,4,No,1
3267,36.0,Male,IT,Houston,10.0,65807.03,3,No,1
3268,35.0,Female,HR,Houston,13.0,64734.8,4,No,1
3269,24.0,Female,IT,Houston,2.0,30999.6,2,Yes,0
3270,26.0,Male,IT,Phoenix,3.0,34105.3,4,No,0
3271,41.0,Male,IT,New York,19.0,92372.62,4,No,2
3272,41.0,Male,Finance,Los Angeles,18.0,90513.35,5,No,2
3273,39.0,Female,IT,Houston,17.0,92763.23,5,No,2
3274,44.0,Male,Marketing,Phoenix,22.0,92498.56,4,No,2
3275,44.0,Male,Sales,New York,18.0,68533.1,5,No,1
3276,30.0,Male,Finance,Los Angeles,4.0,50330.76,5,No,1
3277,40.0,Female,Marketing,Phoenix,20.0,93917.12,5,No,2
3278,37.0,Male,IT,Los Angeles,16.0,68407.97,3,Yes,1
3279,27.0,Female,IT,Houston,4.0,51379.98,3,No,1
3280,48.0,Female,Finance,New York,26.0,101114.9,5,No,2
3281,43.0,Male,Sales,Phoenix,23.0,100813.69,4,No,2
3282,27.0,Female,Sales,New York,6.0,37576.88,3,No,0
3283,23.0,Female,IT,Houston,1.0,29507.84,1,Yes,0
3284,21.0,Male,HR,New York,0.0,29432.11,1,Yes,0
3285,41.0,Female,Marketing,New York,17.0,65286.16,4,No,1
3286,31.0,Male,Finance,Chicago,8.0,39802.1,2,No,0
3287,42.0,Female,Marketing,New York,18.0,68570.21,4,Yes,1
3288,39.0,Female,Finance,Los Angeles,18.0,61243.36,3,No,1
3289,29.0,Male,Sales,Phoenix,8.0,34835.74,2,No,0
3290,35.0,Male,Sales,Chicago,12.0,62639.35,3,No,1
3291,30.0,Female,Sales,Phoenix,8.0,33391.4,2,No,0
3292,24.0,Female,Sales,Phoenix,3.0,36905.15,2,No,0
3293,48.0,Male,IT,Houston,26.0,102461.42,5,No,2
3294,26.0,Female,Sales,Houston,5.0,34567.02,2,Yes,0
3295,26.0,Female,Sales,Chicago,3.0,32714.82,2,Yes,0
3296,42.0,Female,Marketing,Houston,18.0,66254.46,3,Yes,1
3297,39.0,Female,Marketing,Houston,15.0,65562.27,4,Yes,1
3298,27.0,Male,Sales,Houston,3.0,31895.37,3,No,0
3299,43.0,Male,Marketing,Phoenix,18.0,63236.62,4,No,1
3300,24.0,Male,IT,Chicago,1.0,28931.86,1,Yes,0
3301,21.0,Male,Sales,Phoenix,0.0,36785.21,3,Yes,0
3302,32.0,Male,Marketing,Los Angeles,5.0,55329.52,5,No,1
3303,40.0,Male,Sales,Phoenix,18.0,67511.01,4,No,1
3304,36.0,Female,Marketing,Los Angeles,17.0,61660.12,3,No,1
3305,37.0,Male,Marketing,New York,15.0,66528.25,4,No,1
3306,46.0,Female,Marketing,New York,25.0,98181.25,4,No,2
3307,38.0,Female,Marketing,Los Angeles,14.0,59427.6,4,No,1
3308,30.0,Female,IT,Los Angeles,7.0,35994.58,3,Yes,0
3309,37.0,Male,Marketing,Phoenix,22.0,95456.69,4,No,2
3310,27.0,Female,Marketing,Los Angeles,5.0,38146.85,3,No,0
3311,35.0,Male,IT,Chicago,12.0,66031.57,5,No,1
3312,21.0,Female,IT,New York,0.0,29686.84,1,Yes,0
3313,29.0,Female,Sales,New York,8.0,36370.86,3,No,0
3314,41.0,Male,Marketing,Los Angeles,18.0,94252.59,4,No,2
3315,53.0,Female,Sales,Houston,32.0,111829.72,4,Yes,2
3316,38.0,Female,Finance,Houston,14.0,65883.2,4,No,1
3317,41.0,Female,Finance,Los Angeles,18.0,68915.13,4,No,1
3318,23.0,Female,Sales,Chicago,1.0,29580.57,2,Yes,0
3319,24.0,Male,Marketing,Houston,1.0,27993.83,3,No,0
3320,27.0,Female,Finance,Los Angeles,5.0,33734.47,3,Yes,0
3321,30.0,Female,IT,Chicago,5.0,55770.86,3,Yes,1
3322,35.0,Male,Finance,Chicago,12.0,53911.07,3,No,1
3323,36.0,Female,Finance,Phoenix,14.0,52850.47,3,No,1
3324,27.0,Female,Finance,Chicago,7.0,38338.31,1,Yes,0
3325,52.0,Female,Finance,Houston,28.0,110755.92,5,No,2
3326,47.0,Female,IT,Houston,18.0,65571.32,3,No,1
3327,33.0,Male,Sales,Los Angeles,9.0,57001.14,4,No,1
3328,40.0,Female,IT,Los Angeles,17.0,64803.18,2,No,1
3329,35.0,Male,Sales,Chicago,12.0,65004.86,4,No,1
3330,23.0,Female,Sales,New York,1.0,30188.67,2,No,0
3331,25.0,Female,Marketing,Phoenix,4.0,36985.79,3,No,0
3332,35.0,Female,Finance,New York,13.0,59738.37,2,No,1
3333,21.0,Male,Finance,Chicago,0.0,34013.49,3,No,0
3334,30.0,Female,Sales,Chicago,8.0,37926.59,2,Yes,0
3335,28.0,Female,IT,New York,7.0,35764.1,1,No,0
3336,28.0,Male,IT,Phoenix,4.0,28323.44,2,Yes,0
3337,45.0,Male,IT,New York,23.0,101419.84,5,No,2
3338,37.0,Male,Marketing,Los Angeles,15.0,62409.79,4,No,1
3339,39.0,Male,IT,Houston,14.0,65532.35,4,No,1
3340,23.0,Female,IT,Los Angeles,0.0,34638.81,3,No,0
3341,32.0,Female,IT,Houston,11.0,60860.12,5,No,1
3342,35.0,Female,Marketing,Chicago,12.0,57857.73,3,No,1
3343,25.0,Female,IT,Phoenix,2.0,38340.42,2,No,0
3344,39.0,Male,HR,New York,16.0,67872.87,5,No,1
3345,31.0,Female,Finance,Phoenix,10.0,61913.9,4,No,1
3346,36.0,Female,IT,New York,14.0,65012.38,3,No,1
3347,36.0,Female,IT,Los Angeles,16.0,65742.46,3,No,1
3348,26.0,Female,IT,Los Angeles,4.0,36134.49,3,No,0
3349,21.0,Male,Sales,New York,0.0,28941.86,1,Yes,0
3350,29.0,Female,Marketing,Phoenix,6.0,57638.48,2,No,1
3351,36.0,Female,Sales,New York,13.0,61816.16,5,No,1
3352,45.0,Female,Finance,Chicago,22.0,95147.28,4,No,2
3353,32.0,Male,Finance,Los Angeles,9.0,64155.39,4,No,1
3354,23.0,Male,Sales,Chicago,0.0,29656.06,4,No,0
3355,29.0,Female,Sales,Los Angeles,7.0,35695.92,3,Yes,0
3356,44.0,Female,Finance,Los Angeles,18.0,69591.17,4,No,1
3357,25.0,Female,IT,Houston,3.0,28771.2,3,No,0
3358,42.0,Male,Marketing,Chicago,17.0,62974.39,2,No,1
3359,46.0,Female,IT,Chicago,25.0,96147.65,5,No,2
3360,38.0,Female,Finance,Houston,18.0,61037.84,2,No,1
3361,38.0,Female,Sales,Phoenix,15.0,71185.73,4,No,1
3362,35.0,Male,Sales,Chicago,14.0,59946.67,4,No,1
3363,42.0,Female,Sales,New York,18.0,64998.7,4,No,1
3364,38.0,Female,Sales,Houston,17.0,66460.2,4,No,1
3365,46.0,Male,Finance,Chicago,24.0,96956.02,4,No,2
3366,33.0,Male,Sales,Phoenix,12.0,63344.4,5,No,1
3367,45.0,Female,Finance,Chicago,25.0,93148.31,4,No,2
3368,53.0,Male,IT,Los Angeles,30.0,109331.3,4,No,2
3369,22.0,Female,Marketing,New York,1.0,31554.74,2,Yes,0
3370,23.0,Male,HR,Houston,1.0,35100.56,4,No,0
3371,32.0,Male,Finance,Los Angeles,8.0,36553.04,3,No,0
3372,22.0,Female,IT,Phoenix,0.0,33904.13,3,Yes,0
3373,22.0,Female,Sales,Los Angeles,0.0,33817.22,3,No,0
3374,34.0,Female,Marketing,Los Angeles,7.0,57128.94,4,Yes,1
3375,30.0,Male,HR,Phoenix,6.0,32933.4,3,No,0
3376,27.0,Female,Finance,Los Angeles,4.0,32914.74,1,Yes,0
3377,45.0,Female,IT,Houston,23.0,95147.71,5,No,2
3378,23.0,Female,Marketing,Chicago,2.0,30130.01,3,Yes,0
3379,39.0,Female,Finance,Los Angeles,16.0,86562.97,4,No,2
3380,27.0,Female,Marketing,Houston,6.0,36664.78,3,No,0
3381,24.0,Male,HR,Chicago,4.0,35336.18,3,Yes,0
3382,33.0,Female,HR,Chicago,8.0,59971.4,4,No,1
3383,39.0,Female,Finance,Los Angeles,13.0,60357.17,3,No,1
3384,49.0,Male,Marketing,Houston,31.0,120654.71,4,No,2
3385,38.0,Female,IT,Los Angeles,17.0,68345.61,4,No,1
3386,50.0,Female,Finance,Phoenix,30.0,108053.08,4,No,2
3387,24.0,Female,Marketing,Chicago,1.0,32403.17,2,No,0
3388,28.0,Female,IT,Los Angeles,7.0,43183.75,4,No,0
3389,32.0,Female,Finance,Chicago,8.0,56989.36,4,No,1
3390,48.0,Male,Finance,Houston,23.0,97960.02,5,No,2
3391,51.0,Male,HR,New York,29.0,105179.05,3,No,2
3392,38.0,Male,IT,Los Angeles,16.0,64643.17,4,No,1
3393,25.0,Female,Marketing,Los Angeles,2.0,34425.18,2,Yes,0
3394,38.0,Male,Marketing,Chicago,17.0,63197.24,4,No,1
3395,25.0,Female,Sales,Houston,3.0,31784.38,3,No,0
3396,41.0,Female,IT,Phoenix,16.0,95500.26,5,No,2
3397,45.0,Female,IT,Houston,20.0,95254.57,5,No,2
3398,34.0,Male,Finance,Los Angeles,11.0,63010.08,4,Yes,1
3399,35.0,Male,Sales,Phoenix,9.0,56207.41,4,No,1
3400,32.0,Male,HR,Houston,10.0,56213.55,2,No,1
3401,25.0,Female,Finance,New York,2.0,28964.28,3,Yes,0
3402,43.0,Male,HR,Chicago,18.0,88867.11,4,No,2
