Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,TrueSegment,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Houston,City_Los Angeles,City_New York,City_Phoenix
24.0,1,1.0,30111.16,2,1,0,0,0,0,1,0,0,0,0
41.0,0,18.0,67173.61,4,0,1,0,0,0,1,0,0,1,0
24.0,1,3.0,37061.33,2,1,0,1,0,0,0,0,1,0,0
57.0,1,34.0,112329.15,5,0,2,0,0,1,0,0,0,1,0
27.0,1,5.0,35890.68,3,1,0,1,0,0,0,0,1,0,0
44.0,0,19.0,92101.12,5,0,2,1,0,0,0,1,0,0,0
34.0,0,11.0,71551.79,5,0,1,0,1,0,0,0,0,1,0
24.0,0,2.0,35848.46,3,1,0,1,0,0,0,0,0,0,1
28.0,1,5.0,38439.78,3,0,0,1,0,0,0,0,0,0,0
51.0,0,31.0,112147.82,4,0,2,0,0,0,0,0,0,0,1
35.0,0,13.0,62434.93,3,1,1,0,0,0,0,0,0,0,0
34.0,0,11.0,62317.27,2,0,1,0,1,0,0,0,0,1,0
37.0,0,14.0,66498.33,4,0,1,0,1,0,0,0,0,1,0
32.0,1,8.0,39347.88,3,1,0,1,0,0,0,0,0,0,0
26.0,0,4.0,34127.96,3,0,0,0,0,1,0,1,0,0,0
27.0,0,6.0,31917.28,1,1,0,1,0,0,0,0,1,0,0
54.0,1,29.0,100571.83,3,0,2,0,0,1,0,0,0,0,1
38.0,1,17.0,68049.07,4,0,1,0,1,0,0,0,0,0,1
22.0,0,0.0,27846.92,2,1,0,0,0,0,0,0,0,0,1
28.0,1,6.0,35965.67,3,0,0,0,0,0,1,0,0,1,0
28.0,0,6.0,31834.62,2,0,0,1,0,0,0,0,0,0,1
24.0,1,2.0,35090.96,4,0,0,0,0,0,1,0,1,0,0
31.0,1,11.0,63748.6,5,0,1,0,1,0,0,0,1,0,0
38.0,0,16.0,68070.52,4,0,1,0,0,0,0,0,0,0,0
49.0,1,28.0,104215.23,5,0,2,1,0,0,0,0,0,1,0
43.0,0,18.0,60821.52,2,0,1,1,0,0,0,0,1,0,0
29.0,1,6.0,34434.14,2,1,0,0,1,0,0,1,0,0,0
26.0,0,4.0,56033.33,4,0,1,0,0,1,0,0,0,1,0
32.0,1,9.0,57339.31,3,0,1,0,0,1,0,0,0,1,0
31.0,1,11.0,64187.48,4,0,1,0,0,0,1,0,1,0,0
37.0,1,10.0,53569.07,2,0,1,0,1,0,0,1,0,0,0
35.0,1,15.0,67873.28,4,0,1,0,0,0,1,0,0,0,0
42.0,1,18.0,65590.82,2,0,1,0,0,1,0,0,1,0,0
33.0,0,12.0,63295.11,4,0,1,0,0,0,0,1,0,0,0
29.0,1,7.0,38349.22,1,1,0,0,0,1,0,0,0,1,0
27.0,0,7.0,36251.83,3,1,0,0,0,0,0,1,0,0,0
24.0,0,1.0,35425.66,4,1,0,0,0,0,1,0,0,1,0
34.0,0,11.0,67782.76,4,0,1,0,0,0,0,0,1,0,0
26.0,1,4.0,33588.8,2,1,0,0,0,0,0,0,1,0,0
29.0,0,7.0,59019.72,4,0,1,0,1,0,0,0,0,0,1
42.0,1,17.0,92922.96,5,0,2,0,0,0,1,0,0,0,1
29.0,0,8.0,36452.79,2,1,0,0,0,1,0,0,0,0,1
35.0,0,14.0,67415.02,3,0,1,1,0,0,0,0,1,0,0
42.0,0,17.0,69600.36,4,1,1,0,0,1,0,0,0,0,0
24.0,0,2.0,34124.94,4,1,0,0,0,0,1,0,1,0,0
30.0,0,8.0,36673.46,2,1,0,1,0,0,0,1,0,0,0
29.0,1,5.0,31986.07,2,1,0,0,1,0,0,0,1,0,0
29.0,0,7.0,39895.37,4,0,0,0,1,0,0,0,1,0,0
48.0,0,24.0,92337.23,4,0,2,0,0,0,0,0,0,1,0
46.0,1,27.0,103520.11,3,0,2,0,1,0,0,0,0,1,0
35.0,1,15.0,69493.67,4,0,1,0,0,0,0,0,0,1,0
49.0,1,27.0,101493.22,4,0,2,0,0,0,1,0,1,0,0
52.0,0,30.0,106795.21,3,0,2,0,1,0,0,0,0,0,0
26.0,0,4.0,27671.49,1,0,0,0,0,0,1,1,0,0,0
53.0,0,31.0,116610.5,4,0,2,1,0,0,0,1,0,0,0
35.0,0,14.0,59952.31,3,1,1,0,0,0,0,0,0,0,0
45.0,0,27.0,108202.25,5,0,2,0,1,0,0,0,0,0,0
50.0,0,29.0,106472.87,4,0,2,0,0,0,0,1,0,0,0
27.0,1,6.0,37241.49,1,1,0,0,0,1,0,0,0,0,1
30.0,1,8.0,34742.49,2,1,0,1,0,0,0,0,0,1,0
27.0,0,4.0,36242.15,4,0,0,0,0,0,1,0,0,1,0
37.0,0,15.0,66932.99,4,0,1,0,0,0,0,1,0,0,0
47.0,0,27.0,104709.21,4,0,2,0,0,0,0,0,0,0,0
52.0,0,29.0,113086.78,5,0,2,0,1,0,0,0,0,0,1
25.0,0,3.0,37535.79,2,1,0,0,1,0,0,1,0,0,0
33.0,1,8.0,49119.56,3,0,1,0,1,0,0,0,0,1,0
43.0,1,18.0,72141.65,4,0,1,0,1,0,0,0,1,0,0
25.0,0,0.0,34950.95,1,1,0,0,1,0,0,0,0,0,0
22.0,1,0.0,35060.68,3,0,0,1,0,0,0,0,1,0,0
28.0,0,6.0,40698.43,4,1,0,0,0,0,1,1,0,0,0
52.0,0,30.0,104048.28,4,0,2,0,0,1,0,0,0,1,0
25.0,0,1.0,31167.93,2,1,0,0,0,0,1,0,0,0,1
37.0,1,16.0,62080.89,3,0,1,0,0,0,0,0,1,0,0
40.0,1,15.0,63175.24,3,0,1,0,0,0,0,0,0,0,1
26.0,0,3.0,30061.28,3,1,0,0,0,0,1,0,0,1,0
50.0,1,28.0,108821.99,5,0,2,0,0,0,0,0,1,0,0
49.0,1,26.0,103692.95,5,0,2,0,0,0,0,0,0,0,1
26.0,0,3.0,32894.19,3,0,0,0,1,0,0,0,0,0,1
31.0,1,7.0,55711.21,4,1,1,0,1,0,0,0,1,0,0
30.0,1,7.0,38539.02,3,1,0,0,1,0,0,0,0,1,0
22.0,0,1.0,31864.87,3,0,0,0,0,1,0,0,0,0,1
26.0,0,4.0,34529.3,3,1,0,1,0,0,0,1,0,0,0
34.0,1,8.0,55763.07,4,0,1,0,1,0,0,0,1,0,0
43.0,0,18.0,67228.52,4,0,1,0,0,1,0,0,0,0,0
28.0,1,8.0,35840.72,2,1,0,0,0,0,1,0,0,0,0
23.0,0,0.0,26299.09,1,1,0,1,0,0,0,0,0,1,0
49.0,0,24.0,93299.34,5,0,2,0,0,0,0,1,0,0,0
27.0,0,7.0,35711.73,4,0,0,1,0,0,0,0,0,0,1
31.0,0,8.0,38995.82,2,1,0,0,0,0,1,0,0,0,0
36.0,1,14.0,60155.01,3,0,1,1,0,0,0,0,0,1,0
47.0,0,24.0,105092.11,5,0,2,0,1,0,0,1,0,0,0
28.0,0,5.0,36073.95,4,0,0,0,0,1,0,1,0,0,0
41.0,0,18.0,69614.56,4,0,1,0,0,0,0,0,0,1,0
35.0,1,12.0,61916.4,4,0,1,0,0,0,0,0,0,1,0
24.0,1,0.0,24649.58,1,0,0,0,0,1,0,0,0,0,1
38.0,0,13.0,56661.25,4,0,1,1,0,0,0,0,0,1,0
26.0,0,5.0,37493.75,4,0,0,0,0,1,0,0,0,0,1
36.0,0,14.0,65755.78,5,1,1,0,0,0,0,0,0,0,1
33.0,0,12.0,60641.48,2,1,1,0,1,0,0,0,1,0,0
32.0,0,9.0,59573.36,4,0,1,0,0,1,0,1,0,0,0
26.0,0,5.0,36041.5,3,0,0,0,0,0,0,1,0,0,0
41.0,1,17.0,88882.87,4,0,2,0,0,0,1,1,0,0,0
26.0,0,5.0,37286.21,4,0,0,0,1,0,0,0,1,0,0
21.0,0,0.0,31239.78,3,1,0,0,0,0,1,0,0,0,1
31.0,0,8.0,37066.39,2,0,0,0,0,0,1,0,0,0,1
42.0,0,18.0,69721.32,5,0,1,0,1,0,0,0,0,1,0
34.0,0,10.0,60715.98,4,1,1,0,0,0,1,0,1,0,0
26.0,0,5.0,37456.73,2,0,0,1,0,0,0,0,0,1,0
26.0,1,4.0,47938.69,3,1,1,0,0,1,0,0,1,0,0
25.0,1,2.0,28824.46,3,1,0,0,0,0,0,0,0,1,0
34.0,1,6.0,50485.11,2,1,1,0,1,0,0,0,0,0,0
27.0,1,3.0,32719.05,1,1,0,0,0,0,1,1,0,0,0
36.0,1,14.0,66608.66,3,0,1,1,0,0,0,1,0,0,0
35.0,1,12.0,57961.95,3,0,1,0,1,0,0,0,0,0,1
47.0,0,29.0,110610.97,4,0,2,0,1,0,0,0,0,0,0
25.0,0,3.0,36511.99,3,0,0,0,1,0,0,1,0,0,0
28.0,0,5.0,39496.73,1,1,0,0,0,1,0,0,0,0,1
24.0,0,3.0,35114.26,3,0,0,1,0,0,0,0,0,0,0
48.0,0,25.0,105302.69,3,0,2,0,0,0,0,1,0,0,0
49.0,0,26.0,99676.36,3,0,2,0,0,0,1,0,0,1,0
22.0,1,0.0,27782.72,2,1,0,0,0,0,0,0,1,0,0
38.0,0,17.0,68709.62,3,0,1,0,0,0,1,0,0,0,0
53.0,1,29.0,104615.92,4,0,2,0,1,0,0,0,0,0,1
35.0,1,14.0,66806.1,4,0,1,1,0,0,0,0,0,0,0
33.0,0,12.0,69196.74,5,0,1,0,0,0,0,0,0,0,1
28.0,0,6.0,37433.78,1,1,0,0,1,0,0,0,0,0,0
23.0,0,0.0,29846.87,2,1,0,1,0,0,0,0,0,0,1
47.0,0,25.0,103662.92,4,0,2,0,0,0,0,1,0,0,0
47.0,0,26.0,105412.32,5,0,2,1,0,0,0,0,0,1,0
39.0,0,17.0,70001.08,3,0,1,1,0,0,0,1,0,0,0
27.0,0,4.0,38671.4,3,1,0,0,0,0,1,0,0,1,0
26.0,1,4.0,39846.51,3,1,0,1,0,0,0,1,0,0,0
38.0,0,12.0,66629.14,4,0,1,0,0,1,0,1,0,0,0
51.0,0,29.0,98118.5,3,0,2,0,1,0,0,0,0,0,0
47.0,1,23.0,106909.61,5,0,2,0,1,0,0,0,1,0,0
38.0,0,12.0,62491.43,3,0,1,0,0,0,0,0,0,0,1
35.0,0,12.0,60427.73,4,0,1,0,0,0,1,0,0,0,1
28.0,1,6.0,36668.56,2,0,0,0,0,0,1,0,0,0,1
28.0,0,6.0,42265.18,4,0,0,0,1,0,0,0,0,1,0
46.0,0,24.0,103116.91,4,0,2,0,1,0,0,0,0,0,1
30.0,0,9.0,57521.08,4,1,1,0,0,0,1,0,0,0,1
34.0,0,8.0,39261.38,3,1,0,1,0,0,0,0,0,0,0
32.0,0,8.0,40745.9,3,0,0,0,0,1,0,1,0,0,0
34.0,0,9.0,55843.95,2,0,1,0,1,0,0,0,0,0,1
28.0,1,7.0,35257.75,3,1,0,1,0,0,0,0,1,0,0
25.0,0,3.0,26836.61,1,1,0,0,0,0,1,0,0,0,1
42.0,0,18.0,67522.6,5,0,1,0,0,1,0,0,0,1,0
43.0,1,18.0,69062.71,3,1,1,0,1,0,0,0,0,1,0
35.0,1,13.0,62453.69,4,1,1,1,0,0,0,0,0,1,0
23.0,0,1.0,26708.09,2,1,0,0,0,1,0,0,0,0,1
34.0,1,8.0,61735.45,5,0,1,0,0,1,0,0,0,0,0
24.0,0,1.0,22917.54,1,0,0,0,0,0,1,0,1,0,0
26.0,0,6.0,34334.21,2,0,0,0,0,0,0,0,0,0,1
38.0,1,13.0,64551.54,4,0,1,0,0,0,0,0,0,0,0
36.0,0,12.0,60131.32,3,0,1,0,1,0,0,0,0,0,0
50.0,0,30.0,102950.48,4,0,2,0,0,0,0,0,0,0,1
36.0,1,12.0,50568.94,2,1,1,0,0,0,1,0,0,0,1
40.0,1,18.0,64348.5,2,1,1,0,0,0,0,0,0,0,0
26.0,1,5.0,33231.72,4,1,0,0,0,0,1,0,0,0,0
24.0,1,3.0,30293.64,2,0,0,1,0,0,0,0,0,0,0
27.0,0,5.0,34584.39,3,0,0,0,1,0,0,0,0,0,1
24.0,1,2.0,36100.53,3,0,0,0,0,0,1,0,0,0,0
50.0,1,30.0,100279.02,3,0,2,0,0,0,0,0,0,1,0
36.0,1,11.0,50607.88,3,0,1,0,0,1,0,0,0,0,1
50.0,1,30.0,109064.49,4,1,2,0,1,0,0,0,0,1,0
44.0,1,18.0,66670.39,4,0,1,0,1,0,0,1,0,0,0
45.0,0,21.0,93214.01,3,0,2,0,1,0,0,0,0,0,1
42.0,1,18.0,69992.47,5,0,1,0,0,1,0,1,0,0,0
35.0,0,9.0,63746.86,5,1,1,0,0,0,0,0,0,0,0
36.0,1,12.0,71218.11,3,0,1,0,0,0,0,0,0,0,0
25.0,1,4.0,35572.33,3,0,0,0,0,1,0,0,1,0,0
30.0,1,9.0,56853.59,4,0,1,0,0,0,0,0,0,0,0
25.0,1,4.0,37787.56,4,0,0,1,0,0,0,1,0,0,0
23.0,1,1.0,35994.71,4,1,0,0,0,1,0,0,0,0,0
35.0,1,11.0,56371.37,3,1,1,0,0,1,0,0,0,0,1
27.0,1,8.0,33502.41,1,1,0,0,0,1,0,0,0,0,0
48.0,1,29.0,103379.63,5,0,2,0,1,0,0,0,1,0,0
50.0,0,28.0,105240.34,3,0,2,0,0,0,1,0,0,0,0
54.0,1,35.0,116277.54,5,0,2,0,0,1,0,1,0,0,0
25.0,0,3.0,33873.51,3,1,0,1,0,0,0,1,0,0,0
23.0,1,2.0,27208.77,2,0,0,0,0,1,0,0,0,0,0
45.0,0,26.0,100729.87,4,0,2,0,1,0,0,1,0,0,0
39.0,1,17.0,65227.63,3,0,1,0,1,0,0,1,0,0,0
43.0,1,25.0,100715.03,5,0,2,0,0,0,0,0,1,0,0
53.0,1,30.0,103152.0,4,0,2,0,0,1,0,0,0,0,1
50.0,0,25.0,107593.55,5,0,2,0,0,0,1,0,1,0,0
27.0,0,5.0,36663.5,2,1,0,0,0,1,0,0,0,1,0
31.0,0,8.0,62232.49,3,0,1,0,0,0,1,0,1,0,0
51.0,0,29.0,110146.2,5,0,2,0,0,0,0,0,0,0,0
29.0,1,8.0,38035.65,3,1,0,1,0,0,0,0,0,0,1
26.0,1,2.0,27157.72,2,1,0,0,0,1,0,0,0,0,0
39.0,1,15.0,65879.0,4,0,1,0,0,1,0,0,0,1,0
52.0,0,29.0,107834.41,4,1,2,0,0,1,0,0,0,0,1
38.0,1,14.0,67830.59,4,0,1,0,1,0,0,1,0,0,0
37.0,0,18.0,65093.53,2,0,1,0,1,0,0,0,1,0,0
25.0,0,4.0,30004.58,2,0,0,0,0,0,1,0,0,0,0
40.0,0,18.0,70465.76,5,1,1,0,0,0,1,0,0,1,0
47.0,0,25.0,102732.31,3,0,2,0,0,0,0,1,0,0,0
23.0,0,2.0,32991.58,1,1,0,0,0,1,0,0,1,0,0
38.0,1,15.0,69283.53,4,0,1,0,1,0,0,1,0,0,0
45.0,0,19.0,94239.07,5,0,2,0,0,0,0,0,1,0,0
40.0,0,18.0,73207.73,4,0,1,0,0,0,0,0,0,0,1
36.0,1,10.0,65807.03,3,0,1,0,1,0,0,1,0,0,0
35.0,0,13.0,64734.8,4,0,1,1,0,0,0,1,0,0,0
24.0,0,2.0,30999.6,2,1,0,0,1,0,0,1,0,0,0
26.0,1,3.0,34105.3,4,0,0,0,1,0,0,0,0,0,1
41.0,1,19.0,92372.62,4,0,2,0,1,0,0,0,0,1,0
41.0,1,18.0,90513.35,5,0,2,0,0,0,0,0,1,0,0
39.0,0,17.0,92763.23,5,0,2,0,1,0,0,1,0,0,0
44.0,1,22.0,92498.56,4,0,2,0,0,1,0,0,0,0,1
44.0,1,18.0,68533.1,5,0,1,0,0,0,1,0,0,1,0
30.0,1,4.0,50330.76,5,0,1,0,0,0,0,0,1,0,0
40.0,0,20.0,93917.12,5,0,2,0,0,1,0,0,0,0,1
37.0,1,16.0,68407.97,3,1,1,0,1,0,0,0,1,0,0
27.0,0,4.0,51379.98,3,0,1,0,1,0,0,1,0,0,0
48.0,0,26.0,101114.9,5,0,2,0,0,0,0,0,0,1,0
43.0,1,23.0,100813.69,4,0,2,0,0,0,1,0,0,0,1
27.0,0,6.0,37576.88,3,0,0,0,0,0,1,0,0,1,0
23.0,0,1.0,29507.84,1,1,0,0,1,0,0,1,0,0,0
21.0,1,0.0,29432.11,1,1,0,1,0,0,0,0,0,1,0
41.0,0,17.0,65286.16,4,0,1,0,0,1,0,0,0,1,0
31.0,1,8.0,39802.1,2,0,0,0,0,0,0,0,0,0,0
42.0,0,18.0,68570.21,4,1,1,0,0,1,0,0,0,1,0
39.0,0,18.0,61243.36,3,0,1,0,0,0,0,0,1,0,0
29.0,1,8.0,34835.74,2,0,0,0,0,0,1,0,0,0,1
35.0,1,12.0,62639.35,3,0,1,0,0,0,1,0,0,0,0
30.0,0,8.0,33391.4,2,0,0,0,0,0,1,0,0,0,1
24.0,0,3.0,36905.15,2,0,0,0,0,0,1,0,0,0,1
48.0,1,26.0,102461.42,5,0,2,0,1,0,0,1,0,0,0
26.0,0,5.0,34567.02,2,1,0,0,0,0,1,1,0,0,0
26.0,0,3.0,32714.82,2,1,0,0,0,0,1,0,0,0,0
42.0,0,18.0,66254.46,3,1,1,0,0,1,0,1,0,0,0
39.0,0,15.0,65562.27,4,1,1,0,0,1,0,1,0,0,0
27.0,1,3.0,31895.37,3,0,0,0,0,0,1,1,0,0,0
43.0,1,18.0,63236.62,4,0,1,0,0,1,0,0,0,0,1
24.0,1,1.0,28931.86,1,1,0,0,1,0,0,0,0,0,0
21.0,1,0.0,36785.21,3,1,0,0,0,0,1,0,0,0,1
32.0,1,5.0,55329.52,5,0,1,0,0,1,0,0,1,0,0
40.0,1,18.0,67511.01,4,0,1,0,0,0,1,0,0,0,1
36.0,0,17.0,61660.12,3,0,1,0,0,1,0,0,1,0,0
37.0,1,15.0,66528.25,4,0,1,0,0,1,0,0,0,1,0
46.0,0,25.0,98181.25,4,0,2,0,0,1,0,0,0,1,0
38.0,0,14.0,59427.6,4,0,1,0,0,1,0,0,1,0,0
30.0,0,7.0,35994.58,3,1,0,0,1,0,0,0,1,0,0
37.0,1,22.0,95456.69,4,0,2,0,0,1,0,0,0,0,1
27.0,0,5.0,38146.85,3,0,0,0,0,1,0,0,1,0,0
35.0,1,12.0,66031.57,5,0,1,0,1,0,0,0,0,0,0
21.0,0,0.0,29686.84,1,1,0,0,1,0,0,0,0,1,0
29.0,0,8.0,36370.86,3,0,0,0,0,0,1,0,0,1,0
41.0,1,18.0,94252.59,4,0,2,0,0,1,0,0,1,0,0
53.0,0,32.0,111829.72,4,1,2,0,0,0,1,1,0,0,0
38.0,0,14.0,65883.2,4,0,1,0,0,0,0,1,0,0,0
41.0,0,18.0,68915.13,4,0,1,0,0,0,0,0,1,0,0
23.0,0,1.0,29580.57,2,1,0,0,0,0,1,0,0,0,0
24.0,1,1.0,27993.83,3,0,0,0,0,1,0,1,0,0,0
27.0,0,5.0,33734.47,3,1,0,0,0,0,0,0,1,0,0
30.0,0,5.0,55770.86,3,1,1,0,1,0,0,0,0,0,0
35.0,1,12.0,53911.07,3,0,1,0,0,0,0,0,0,0,0
36.0,0,14.0,52850.47,3,0,1,0,0,0,0,0,0,0,1
27.0,0,7.0,38338.31,1,1,0,0,0,0,0,0,0,0,0
52.0,0,28.0,110755.92,5,0,2,0,0,0,0,1,0,0,0
47.0,0,18.0,65571.32,3,0,1,0,1,0,0,1,0,0,0
33.0,1,9.0,57001.14,4,0,1,0,0,0,1,0,1,0,0
40.0,0,17.0,64803.18,2,0,1,0,1,0,0,0,1,0,0
35.0,1,12.0,65004.86,4,0,1,0,0,0,1,0,0,0,0
23.0,0,1.0,30188.67,2,0,0,0,0,0,1,0,0,1,0
25.0,0,4.0,36985.79,3,0,0,0,0,1,0,0,0,0,1
35.0,0,13.0,59738.37,2,0,1,0,0,0,0,0,0,1,0
21.0,1,0.0,34013.49,3,0,0,0,0,0,0,0,0,0,0
30.0,0,8.0,37926.59,2,1,0,0,0,0,1,0,0,0,0
28.0,0,7.0,35764.1,1,0,0,0,1,0,0,0,0,1,0
28.0,1,4.0,28323.44,2,1,0,0,1,0,0,0,0,0,1
45.0,1,23.0,101419.84,5,0,2,0,1,0,0,0,0,1,0
37.0,1,15.0,62409.79,4,0,1,0,0,1,0,0,1,0,0
39.0,1,14.0,65532.35,4,0,1,0,1,0,0,1,0,0,0
23.0,0,0.0,34638.81,3,0,0,0,1,0,0,0,1,0,0
32.0,0,11.0,60860.12,5,0,1,0,1,0,0,1,0,0,0
35.0,0,12.0,57857.73,3,0,1,0,0,1,0,0,0,0,0
25.0,0,2.0,38340.42,2,0,0,0,1,0,0,0,0,0,1
39.0,1,16.0,67872.87,5,0,1,1,0,0,0,0,0,1,0
31.0,0,10.0,61913.9,4,0,1,0,0,0,0,0,0,0,1
36.0,0,14.0,65012.38,3,0,1,0,1,0,0,0,0,1,0
36.0,0,16.0,65742.46,3,0,1,0,1,0,0,0,1,0,0
26.0,0,4.0,36134.49,3,0,0,0,1,0,0,0,1,0,0
21.0,1,0.0,28941.86,1,1,0,0,0,0,1,0,0,1,0
29.0,0,6.0,57638.48,2,0,1,0,0,1,0,0,0,0,1
36.0,0,13.0,61816.16,5,0,1,0,0,0,1,0,0,1,0
45.0,0,22.0,95147.28,4,0,2,0,0,0,0,0,0,0,0
32.0,1,9.0,64155.39,4,0,1,0,0,0,0,0,1,0,0
23.0,1,0.0,29656.06,4,0,0,0,0,0,1,0,0,0,0
29.0,0,7.0,35695.92,3,1,0,0,0,0,1,0,1,0,0
44.0,0,18.0,69591.17,4,0,1,0,0,0,0,0,1,0,0
25.0,0,3.0,28771.2,3,0,0,0,1,0,0,1,0,0,0
42.0,1,17.0,62974.39,2,0,1,0,0,1,0,0,0,0,0
46.0,0,25.0,96147.65,5,0,2,0,1,0,0,0,0,0,0
38.0,0,18.0,61037.84,2,0,1,0,0,0,0,1,0,0,0
38.0,0,15.0,71185.73,4,0,1,0,0,0,1,0,0,0,1
35.0,1,14.0,59946.67,4,0,1,0,0,0,1,0,0,0,0
42.0,0,18.0,64998.7,4,0,1,0,0,0,1,0,0,1,0
38.0,0,17.0,66460.2,4,0,1,0,0,0,1,1,0,0,0
46.0,1,24.0,96956.02,4,0,2,0,0,0,0,0,0,0,0
33.0,1,12.0,63344.4,5,0,1,0,0,0,1,0,0,0,1
45.0,0,25.0,93148.31,4,0,2,0,0,0,0,0,0,0,0
53.0,1,30.0,109331.3,4,0,2,0,1,0,0,0,1,0,0
22.0,0,1.0,31554.74,2,1,0,0,0,1,0,0,0,1,0
23.0,1,1.0,35100.56,4,0,0,1,0,0,0,1,0,0,0
32.0,1,8.0,36553.04,3,0,0,0,0,0,0,0,1,0,0
22.0,0,0.0,33904.13,3,1,0,0,1,0,0,0,0,0,1
