age,gender,department,city,years_experience,monthly_salary,performance_score,attrition
21,Male,HR,New York,0,42414.19,5,No
45,Female,Marketing,Los Angeles,12,53376.28,5,No
27,Male,Finance,Los Angeles,3,50731.64,2,Yes
29,Female,HR,Los Angeles,2,46417.83,4,No
44,Female,IT,Houston,9,56607.82,1,Yes
21,Male,Finance,Los Angeles,0,46753.65,5,No
28,Male,IT,Houston,4,62759.42,5,No
44,Female,IT,New York,10,59703.77,4,No
31,Female,Sales,New York,7,51555.52,2,No
37,Female,Marketing,New York,11,42639.52,1,Yes
28,Male,Finance,Chicago,2,43105.61,2,Yes
55,Female,IT,Chicago,26,70196.11,2,No
55,Female,Sales,Phoenix,19,54857.51,1,No
53,Female,HR,Phoenix,22,58119.25,1,Yes
25,Female,Finance,Phoenix,2,49971.48,5,No
59,Female,IT,Chicago,32,86058.46,5,No
48,Male,Marketing,Chicago,19,55178.94,1,No
27,Female,Sales,Phoenix,4,43546.43,3,No
29,Female,IT,Phoenix,6,59318.71,5,No
28,Female,Marketing,Los Angeles,2,38606.94,3,No
32,Female,IT,Phoenix,4,55400.82,1,Yes
54,Male,Finance,Los Angeles,22,59242.67,5,No
53,Male,Finance,Houston,17,61241.77,2,No
43,Male,Finance,Chicago,15,47391.62,1,Yes
44,Female,Sales,Phoenix,7,48547.37,4,No
57,Female,Finance,Chicago,21,64207.57,3,No
55,Male,Marketing,Chicago,16,55430.53,1,No
42,Male,IT,Chicago,11,49881.39,1,Yes
47,Male,HR,Houston,16,61432.05,5,No
55,Female,Marketing,New York,19,56334.73,5,No
21,Female,Marketing,Phoenix,0,48386.68,5,No
55,Male,Finance,New York,18,62002.62,4,No
57,Male,Sales,New York,18,62393.74,5,No
34,Male,IT,New York,9,49404.49,1,No
23,Female,Sales,Chicago,1,51079.45,5,No
21,Female,IT,Los Angeles,0,48750.96,2,Yes
25,Female,IT,Chicago,2,54674.01,5,No
46,Male,Sales,Chicago,17,54342.53,4,No
34,Male,Marketing,New York,8,41139.91,2,No
59,Female,IT,Chicago,28,64685.69,1,No
47,Male,Sales,New York,21,47157.43,1,No
29,Female,IT,Los Angeles,4,55445.27,3,No
35,Male,HR,Phoenix,5,37838.71,2,Yes
35,Male,Marketing,New York,7,43896.02,3,No
46,Male,Finance,Los Angeles,11,58834.41,2,No
33,Male,IT,Phoenix,7,49146.05,2,Yes
52,Female,HR,Houston,25,59188.12,4,No
59,Male,Finance,New York,13,56051.02,3,Yes
52,Female,Finance,New York,10,51769.32,4,No
24,Female,IT,Houston,1,46727.42,2,No
50,Female,Sales,Houston,20,53705.35,1,No
57,Male,IT,New York,22,63270.91,2,No
43,Female,HR,Houston,7,43074.39,4,Yes
59,Female,Finance,Chicago,30,72675.11,3,No
35,Female,IT,Phoenix,10,56433.92,3,No
49,Male,Sales,Phoenix,7,47370.1,4,Yes
56,Male,IT,Phoenix,22,66064.94,3,No
33,Female,Marketing,Chicago,9,51223.91,5,No
52,Male,Sales,Houston,15,49720.33,1,No
27,Female,HR,Los Angeles,2,34224.3,1,Yes
42,Female,Finance,Houston,6,43193.32,1,No
48,Male,IT,New York,8,58218.37,3,No
22,Female,Sales,Phoenix,1,41937.31,3,No
26,Male,Marketing,Houston,4,38184.61,2,No
48,Male,Sales,Los Angeles,9,48327.54,2,No
48,Female,Marketing,New York,11,44352.53,1,No
40,Male,HR,Chicago,7,40714.69,5,No
50,Male,Finance,Chicago,10,53263.81,2,Yes
31,Female,HR,Los Angeles,8,37921.98,2,No
48,Female,IT,New York,12,61737.71,3,No
45,Male,Sales,Phoenix,10,53533.0,5,No
59,Male,Marketing,Houston,15,51570.28,1,No
53,Female,Marketing,New York,20,52879.13,2,No
21,Male,Sales,Chicago,0,45279.72,5,No
47,Male,Sales,Los Angeles,18,66940.97,5,No
33,Male,IT,Los Angeles,4,44923.93,1,No
23,Male,HR,Houston,1,39586.73,5,Yes
59,Male,Marketing,Los Angeles,23,67470.16,5,No
26,Male,IT,Los Angeles,2,55442.65,5,No
28,Male,HR,New York,3,35055.0,2,Yes
47,Female,IT,Phoenix,20,53258.16,1,No
29,Female,Marketing,Houston,6,46259.91,5,Yes
57,Female,Sales,New York,19,65759.44,5,No
53,Female,Sales,Phoenix,17,51449.86,2,No
44,Female,HR,New York,18,49256.25,1,No
35,Male,Finance,New York,8,49570.06,3,No
52,Male,HR,Los Angeles,8,34271.33,2,Yes
52,Male,Finance,Phoenix,25,61248.08,1,No
44,Male,IT,Houston,9,62242.53,5,No
32,Female,IT,Houston,7,39368.99,1,Yes
59,Male,Marketing,Phoenix,13,47558.67,1,Yes
22,Male,Finance,Los Angeles,0,35455.72,1,Yes
23,Female,Marketing,Chicago,1,41983.77,3,No
57,Male,Sales,New York,26,63757.28,1,No
37,Male,Finance,Los Angeles,7,50562.21,3,No
22,Female,HR,Phoenix,0,40321.33,5,Yes
22,Male,Sales,New York,0,37374.55,3,No
48,Male,Sales,Houston,15,53867.67,5,No
43,Male,HR,Chicago,18,64892.37,5,No
57,Male,Sales,Houston,19,55189.71,3,Yes
52,Male,Finance,Phoenix,18,65771.18,2,No
53,Female,Marketing,New York,25,61112.0,4,No
21,Female,Sales,Phoenix,0,38300.76,1,No
39,Female,Finance,New York,6,47948.77,4,No
22,Female,IT,Los Angeles,0,44293.58,1,Yes
46,Female,Finance,Chicago,11,49347.65,1,No
52,Female,Marketing,Los Angeles,15,55999.94,5,No
26,Male,Finance,Los Angeles,3,45490.09,1,No
52,Female,HR,Phoenix,23,52173.43,1,No
24,Female,Marketing,Chicago,1,33837.41,3,Yes
31,Male,IT,New York,5,56595.22,4,No
37,Male,HR,New York,10,41516.4,3,No
58,Female,Finance,Houston,18,59366.07,1,Yes
44,Male,Marketing,New York,17,63041.99,5,No
25,Female,IT,Phoenix,2,46998.02,3,No
54,Male,HR,Los Angeles,14,54629.41,3,No
26,Female,IT,Los Angeles,3,49177.13,2,No
42,Male,Finance,Los Angeles,12,48816.55,1,No
31,Male,IT,Chicago,6,62305.72,5,No
36,Female,Sales,New York,8,43633.31,3,Yes
53,Female,HR,Phoenix,18,52193.2,3,No
29,Female,IT,Chicago,6,55874.74,5,No
26,Female,Finance,Houston,2,44520.89,1,No
36,Female,Finance,Phoenix,7,53511.73,2,No
49,Male,IT,Phoenix,8,58411.17,3,Yes
23,Female,Finance,Phoenix,1,44244.99,2,Yes
40,Female,Marketing,Los Angeles,8,47278.92,4,No
56,Male,Marketing,Phoenix,28,53496.06,1,No
39,Male,Marketing,New York,10,45043.42,4,No
46,Female,Sales,Phoenix,18,66966.62,4,Yes
23,Male,IT,Los Angeles,2,43355.71,4,No
39,Male,Sales,Phoenix,14,46362.04,1,No
40,Female,Finance,Houston,15,59028.43,1,Yes
52,Male,Sales,Houston,15,60088.85,5,No
27,Male,Finance,Los Angeles,3,48962.18,2,Yes
53,Female,Finance,New York,13,56921.31,2,No
59,Female,HR,New York,14,60178.33,5,No
38,Male,Marketing,Chicago,9,52731.71,5,No
21,Male,Finance,Los Angeles,0,49453.79,4,No
31,Female,HR,Phoenix,5,42853.01,5,No
48,Male,Marketing,Los Angeles,16,56145.33,3,No
45,Male,Finance,Chicago,19,58865.5,2,No
43,Male,Finance,Los Angeles,13,59537.58,5,No
51,Female,Sales,Los Angeles,20,63178.89,3,No
50,Male,Sales,Chicago,21,64156.49,3,No
55,Male,Marketing,New York,29,72903.77,3,No
27,Female,Finance,Phoenix,4,54893.05,3,Yes
36,Male,IT,Chicago,11,62919.26,4,No
46,Male,Sales,Houston,21,53668.22,3,No
22,Female,Marketing,New York,1,49060.72,4,No
21,Female,Finance,Houston,0,50471.87,4,No
32,Female,Finance,New York,5,46286.56,3,Yes
25,Female,IT,Phoenix,2,49215.64,2,No
57,Male,Marketing,Phoenix,11,44900.94,3,No
52,Male,Finance,Los Angeles,20,66074.52,3,No
29,Female,Sales,Houston,6,41034.92,3,No
55,Female,IT,New York,26,65867.13,2,No
39,Male,Marketing,Phoenix,6,42739.72,1,No
36,Female,IT,Chicago,12,57891.55,1,Yes
23,Male,Sales,Phoenix,1,45051.75,4,No
40,Female,Marketing,Chicago,13,52005.33,4,No
44,Male,IT,New York,18,53040.53,2,No
53,Female,HR,Phoenix,20,59163.92,5,No
44,Female,Sales,Phoenix,10,47833.94,1,No
31,Male,Sales,New York,7,48182.94,4,No
28,Female,Sales,Phoenix,3,38959.69,1,Yes
56,Male,HR,Chicago,9,42207.53,2,No
58,Male,HR,Phoenix,28,59713.18,2,No
40,Male,Finance,Houston,9,57853.51,5,No
55,Male,IT,Los Angeles,24,72709.22,5,No
45,Male,Finance,Chicago,11,58623.16,2,No
55,Female,IT,Houston,26,64674.32,4,No
45,Female,HR,New York,9,38566.63,1,Yes
49,Male,HR,Chicago,23,54968.98,3,Yes
38,Female,Finance,Los Angeles,12,61276.44,5,No
38,Male,Marketing,Los Angeles,5,43658.58,3,No
22,Female,Finance,New York,1,54238.77,4,No
55,Female,IT,New York,29,86354.57,5,No
36,Female,Finance,Chicago,8,49107.67,3,No
56,Female,Sales,Phoenix,13,55152.0,4,No
53,Male,IT,New York,17,59135.22,1,Yes
24,Male,IT,Phoenix,2,47508.75,4,No
53,Female,Marketing,Houston,22,66413.53,5,No
34,Female,HR,Los Angeles,9,41991.97,2,No
41,Male,IT,Phoenix,10,47429.46,1,Yes
40,Female,HR,Los Angeles,7,42131.73,3,Yes
28,Male,Finance,Phoenix,4,48809.3,5,No
27,Male,Sales,Houston,3,45396.59,2,No
23,Male,Marketing,New York,1,49356.24,4,No
37,Female,HR,Houston,13,47729.28,2,Yes
53,Male,IT,New York,21,71395.11,5,No
32,Female,HR,New York,7,48259.74,5,No
42,Male,IT,Los Angeles,16,64328.94,2,Yes
42,Female,HR,Houston,12,54842.8,4,No
50,Female,IT,Phoenix,21,63887.39,2,Yes
58,Female,Finance,Houston,20,69010.36,5,No
58,Male,IT,Los Angeles,11,64060.59,5,No
28,Male,IT,New York,3,44899.25,3,Yes
47,Female,Sales,Los Angeles,14,58750.43,3,No
47,Female,IT,Chicago,18,66239.33,1,No
54,Female,Sales,Chicago,10,59160.13,5,No
41,Male,Marketing,Phoenix,7,40267.62,3,Yes
50,Male,Sales,Los Angeles,12,41920.0,2,No
53,Male,Finance,Phoenix,13,61984.87,4,No
48,Male,Sales,Phoenix,19,53409.24,2,No
53,Female,Marketing,Chicago,13,54298.53,4,No
25,Female,Finance,Phoenix,3,53590.59,3,No
39,Male,HR,Chicago,10,39072.18,1,Yes
24,Male,HR,New York,2,34789.78,2,No
55,Female,Sales,Los Angeles,26,64206.89,2,Yes
37,Male,Sales,Phoenix,8,40809.96,2,Yes
48,Male,Marketing,Chicago,19,55818.58,4,No
50,Male,Marketing,Houston,15,52949.43,3,Yes
49,Male,IT,Phoenix,13,55548.18,2,Yes
26,Male,Marketing,New York,4,42633.63,2,No
55,Male,IT,New York,12,64663.92,1,No
57,Female,Finance,Houston,11,51046.55,1,Yes
44,Male,Sales,Chicago,16,52433.15,3,No
49,Male,Finance,Phoenix,8,57872.96,3,No
51,Female,Marketing,Chicago,23,58494.73,5,No
55,Female,Finance,New York,17,50794.37,1,No
53,Female,Finance,Chicago,26,71319.59,5,No
41,Male,Finance,New York,14,58968.45,4,No
52,Female,Marketing,Chicago,19,58573.71,5,No
43,Male,Finance,Houston,18,59373.95,2,No
53,Male,IT,Los Angeles,16,67298.97,5,No
23,Male,Marketing,Houston,2,44775.84,3,Yes
38,Female,Finance,Houston,6,52864.75,4,Yes
45,Female,Marketing,Los Angeles,13,46502.22,2,No
51,Female,HR,Los Angeles,12,56458.58,5,No
23,Female,IT,Phoenix,1,46479.14,4,No
44,Female,Finance,Phoenix,8,47869.59,4,No
52,Male,HR,Houston,23,61073.82,2,No
42,Male,HR,Houston,16,60767.41,5,No
43,Male,Marketing,New York,18,54730.81,4,No
22,Male,HR,New York,0,37203.6,4,No
47,Female,IT,Phoenix,16,53732.29,1,No
22,Female,IT,Phoenix,1,51056.5,4,No
46,Male,Sales,New York,11,53578.2,1,Yes
37,Female,IT,New York,7,60461.53,5,Yes
53,Female,HR,Chicago,16,60342.9,5,No
29,Male,IT,Chicago,5,59028.91,5,No
59,Male,Marketing,New York,23,60449.52,3,No
49,Female,Sales,Chicago,15,63583.36,5,No
46,Female,HR,Los Angeles,7,48430.12,4,No
55,Male,Sales,Phoenix,10,53657.78,2,No
45,Male,HR,Phoenix,6,36061.8,1,Yes
44,Male,Marketing,New York,19,49697.55,3,No
33,Female,Sales,Houston,3,52031.0,5,No
27,Male,Finance,New York,2,52299.08,5,No
56,Male,HR,Chicago,15,47465.82,2,Yes
40,Female,Finance,Houston,14,54739.39,2,No
21,Female,Sales,Chicago,0,50818.75,3,Yes
28,Female,Finance,Los Angeles,5,42381.22,1,No
36,Female,Finance,Chicago,10,55086.79,5,No
34,Female,Sales,Los Angeles,7,47591.14,3,No
32,Male,Marketing,Los Angeles,3,48371.96,4,No
43,Male,Finance,Chicago,18,73013.61,4,Yes
35,Female,Finance,Chicago,10,56729.46,3,Yes
48,Female,Marketing,Los Angeles,17,54068.37,5,No
54,Female,Finance,Houston,23,74333.46,3,No
22,Female,Finance,Los Angeles,1,49872.13,5,No
52,Female,Finance,Phoenix,20,58049.16,2,No
43,Male,IT,Los Angeles,18,59382.43,3,No
42,Male,Marketing,Houston,17,62495.31,5,No
45,Male,Finance,Phoenix,15,59805.32,3,No
42,Male,Marketing,New York,14,53280.3,3,No
42,Female,HR,New York,6,51846.01,5,No
26,Male,HR,Houston,3,40641.38,5,No
35,Female,Finance,Los Angeles,4,49464.62,1,Yes
57,Female,Marketing,Chicago,22,57423.37,3,No
53,Female,Marketing,Houston,27,75106.03,4,No
28,Male,Marketing,Phoenix,4,44794.96,3,No
25,Female,IT,Phoenix,2,44819.05,3,Yes
59,Male,HR,New York,17,49048.33,5,No
24,Male,Marketing,Phoenix,1,42785.7,3,Yes
26,Female,Marketing,Houston,3,39953.28,3,No
52,Female,IT,Phoenix,11,58627.74,4,Yes
50,Female,IT,Houston,9,62614.78,5,No
55,Male,Marketing,Chicago,17,58791.66,3,No
36,Female,Sales,New York,11,53744.84,2,No
33,Male,Marketing,Phoenix,8,37100.63,1,No
50,Female,Marketing,Houston,8,54103.58,4,No
39,Female,IT,Los Angeles,9,52833.82,3,Yes
37,Male,IT,New York,9,43925.0,2,Yes
39,Male,Marketing,Chicago,11,44336.24,3,No
48,Male,Marketing,Houston,17,55622.1,3,No
46,Male,Marketing,Chicago,12,50484.74,5,No
57,Male,IT,Chicago,21,70597.82,5,No
46,Male,Marketing,Phoenix,13,56703.01,5,Yes
43,Female,Marketing,Phoenix,17,51824.46,2,No
29,Female,Finance,Houston,5,47372.58,3,No
32,Male,Sales,Los Angeles,6,36897.22,1,Yes
21,Female,HR,Houston,0,38887.78,4,Yes
21,Male,Sales,Los Angeles,0,36740.17,5,No
54,Female,Finance,Chicago,24,69056.01,5,No
52,Female,HR,New York,18,49988.86,3,No
45,Male,Marketing,Houston,16,52842.49,3,No
21,Male,Finance,Houston,0,41546.68,2,No
36,Male,Marketing,Los Angeles,8,47839.83,2,No
59,Female,IT,Chicago,19,75383.91,5,No
25,Male,Finance,Chicago,3,42978.88,3,Yes
42,Female,IT,Los Angeles,11,60621.33,1,No
49,Male,Finance,Chicago,15,57932.82,4,No
23,Female,Finance,Phoenix,2,47190.11,3,Yes
32,Female,IT,New York,3,51493.45,3,No
46,Male,HR,Houston,9,52728.33,2,No
36,Female,Sales,New York,7,47280.87,4,No
57,Female,Marketing,Houston,29,63363.05,5,No
42,Male,Finance,Phoenix,6,56261.52,3,Yes
49,Female,Marketing,Chicago,7,46316.51,5,No
34,Male,IT,Los Angeles,4,48953.65,3,Yes
48,Male,Marketing,Phoenix,8,46129.0,5,No
25,Male,IT,New York,1,48315.18,4,No
50,Male,Marketing,Los Angeles,16,48238.43,2,Yes
25,Female,Sales,Chicago,2,47405.77,4,No
32,Female,Sales,Phoenix,5,41273.17,1,Yes
36,Female,Sales,Los Angeles,7,42325.78,2,Yes
46,Male,Sales,Phoenix,8,54383.49,4,No
46,Female,Sales,Phoenix,11,47669.99,1,No
41,Female,Sales,Chicago,11,43665.81,3,No
59,Male,IT,Houston,26,74978.81,3,No
56,Male,Finance,Los Angeles,9,58289.47,5,No
53,Female,Marketing,Chicago,17,58112.93,2,No
50,Male,Sales,Phoenix,12,52495.67,3,No
57,Male,IT,Chicago,27,66883.16,2,No
43,Male,IT,Houston,15,60032.82,3,No
30,Male,IT,Los Angeles,5,58965.68,5,No
25,Female,Finance,Houston,2,45617.05,4,No
56,Male,Marketing,New York,28,67838.81,5,No
54,Male,Finance,Los Angeles,9,47863.25,1,No
51,Male,HR,Houston,9,40552.51,3,Yes
30,Male,IT,Phoenix,4,42974.71,1,No
39,Male,HR,Los Angeles,6,38590.2,1,No
52,Male,Sales,Los Angeles,26,67909.91,2,No
21,Male,Sales,Chicago,0,41868.59,3,No
25,Male,Finance,Phoenix,2,41916.55,1,No
24,Female,Marketing,New York,2,39374.92,4,No
36,Male,HR,Houston,13,48930.64,1,Yes
44,Female,Marketing,Chicago,18,59634.02,4,No
36,Male,Finance,Houston,9,48123.08,2,No
22,Male,Sales,New York,1,40744.59,1,Yes
48,Male,Marketing,New York,23,67088.31,5,No
52,Male,Marketing,Los Angeles,22,54045.88,2,No
47,Female,Sales,New York,8,49994.49,4,No
40,Male,HR,Houston,9,40978.91,2,No
44,Male,Sales,Phoenix,17,62884.15,1,Yes
32,Female,Marketing,Phoenix,4,44526.98,3,No
55,Female,HR,Los Angeles,25,61097.05,3,No
53,Male,HR,Houston,10,50190.65,4,No
53,Female,Sales,Houston,9,56866.65,4,No
57,Female,Marketing,New York,17,54416.48,3,No
32,Female,Finance,Houston,3,47290.36,4,No
23,Male,Marketing,Chicago,2,41677.13,2,No
21,Male,IT,New York,0,50300.22,5,Yes
53,Male,Finance,Chicago,23,66570.42,5,No
30,Female,HR,Los Angeles,6,35041.25,2,Yes
49,Male,Finance,Phoenix,11,65567.19,5,No
33,Female,HR,Los Angeles,7,39376.58,1,Yes
32,Male,HR,Phoenix,7,38691.73,2,Yes
51,Male,Finance,Los Angeles,17,62012.66,4,No
22,Female,HR,Houston,0,37629.78,2,No
55,Male,HR,Chicago,19,53476.38,3,No
43,Female,IT,Phoenix,12,54402.32,4,No
37,Female,Marketing,New York,14,53203.36,3,No
46,Male,Marketing,Chicago,20,64633.39,4,No
28,Female,IT,New York,4,59365.86,5,No
49,Male,Finance,Chicago,17,56312.68,2,Yes
46,Male,Sales,Chicago,17,57426.69,1,No
30,Female,Sales,Los Angeles,2,45551.8,4,No
46,Male,Sales,Phoenix,20,66764.59,4,No
54,Female,IT,Phoenix,25,72644.75,3,No
27,Male,IT,Chicago,3,47763.61,5,No
24,Male,HR,Houston,1,44536.96,3,No
31,Male,Sales,Houston,4,44607.14,3,No
49,Male,Finance,New York,15,65557.18,5,No
56,Male,Finance,New York,10,44323.82,1,No
45,Female,Sales,Los Angeles,18,59721.31,3,Yes
41,Female,Sales,Chicago,5,49761.71,3,No
56,Female,Sales,New York,16,65741.28,4,No
30,Female,IT,New York,7,63251.6,5,No
57,Female,IT,Chicago,25,70366.9,2,No
29,Female,IT,Los Angeles,3,38872.49,1,Yes
44,Male,Marketing,New York,9,43279.09,1,No
55,Male,Finance,Los Angeles,9,55179.96,5,No
55,Female,Finance,Phoenix,23,69589.91,4,No
56,Female,HR,Los Angeles,10,43434.7,4,No
38,Male,IT,Houston,10,59659.33,5,No
59,Male,Marketing,Houston,31,68181.27,4,No
52,Male,Marketing,Los Angeles,10,41507.33,1,Yes
44,Female,Finance,Houston,18,55147.06,1,No
43,Female,IT,Phoenix,19,61906.58,2,No
52,Female,HR,Chicago,9,50694.78,5,No
57,Male,IT,Houston,28,63206.03,3,No
32,Male,Sales,Houston,6,36794.27,3,No
33,Female,IT,Los Angeles,10,52545.23,2,Yes
43,Female,Sales,Phoenix,13,49958.92,2,No
45,Male,Sales,Chicago,16,58756.44,4,No
55,Male,HR,Los Angeles,20,50489.31,2,No
50,Male,Finance,Los Angeles,22,63337.86,2,No
37,Male,IT,Phoenix,11,57556.09,3,No
40,Female,Sales,Chicago,11,50311.77,4,No
45,Male,IT,Phoenix,19,66503.82,2,Yes
42,Male,Finance,Chicago,8,50707.95,2,No
33,Male,Finance,Phoenix,4,52787.84,4,No
39,Female,Marketing,Los Angeles,6,48975.38,5,No
56,Female,Finance,Los Angeles,16,70414.69,4,No
32,Male,HR,New York,4,42785.59,3,No
39,Male,Sales,Houston,15,57298.03,5,No
32,Male,Marketing,Phoenix,3,40333.87,1,Yes
29,Female,HR,New York,5,36999.58,4,No
27,Female,IT,Houston,2,48978.4,3,No
48,Female,Sales,Phoenix,21,66226.64,5,No
34,Male,Finance,Chicago,11,57774.08,4,No
51,Female,Sales,Houston,16,52264.88,2,No
39,Male,IT,Los Angeles,14,58050.91,4,No
36,Male,Marketing,New York,4,34842.61,1,Yes
25,Male,Marketing,Houston,3,44058.3,4,No
55,Female,Marketing,Houston,13,50895.92,5,No
32,Male,Finance,Los Angeles,9,64630.67,5,No
45,Female,HR,Phoenix,6,33936.41,4,No
41,Female,HR,Chicago,12,51106.25,5,No
56,Male,Sales,Los Angeles,25,62591.56,2,No
43,Male,Finance,Chicago,9,57379.68,4,No
36,Female,Marketing,Phoenix,5,37486.3,2,Yes
59,Male,Marketing,Houston,11,51387.18,2,No
59,Female,IT,Chicago,17,57174.68,3,No
34,Male,IT,New York,8,54135.49,4,No
51,Female,Marketing,New York,10,54982.99,5,No
25,Female,Marketing,Los Angeles,2,42460.75,2,Yes
55,Female,Finance,Phoenix,9,47533.99,3,No
43,Female,HR,Los Angeles,16,64580.15,4,No
49,Male,IT,Los Angeles,9,53760.03,4,No
31,Male,HR,Los Angeles,4,30751.27,1,Yes
38,Female,Finance,New York,4,46010.86,1,Yes
32,Female,Marketing,New York,6,40706.83,2,Yes
29,Male,HR,Los Angeles,6,35915.79,1,No
30,Male,Marketing,New York,4,42582.58,2,No
37,Male,Marketing,Phoenix,6,42590.82,5,No
58,Male,Sales,Los Angeles,26,56291.46,2,No
27,Male,HR,New York,4,33610.31,1,No
33,Male,HR,Chicago,4,49111.61,5,No
29,Female,Marketing,Los Angeles,6,37683.78,1,Yes
47,Male,Finance,Los Angeles,21,68746.63,2,No
22,Male,Sales,Phoenix,0,45404.06,3,No
25,Female,Marketing,Houston,3,44781.78,4,No
49,Male,IT,Houston,19,61608.9,1,No
57,Male,IT,Phoenix,19,63578.01,2,No
58,Male,Sales,Phoenix,11,56088.87,5,No
39,Male,Finance,Phoenix,5,43485.03,1,Yes
28,Male,Marketing,Houston,5,37949.25,1,Yes
21,Female,HR,Phoenix,0,34520.16,4,No
42,Male,Sales,New York,14,42859.83,2,No
37,Female,Finance,Los Angeles,8,56616.28,3,No
27,Female,HR,Los Angeles,4,45429.03,5,No
45,Male,IT,Chicago,15,58674.85,2,Yes
24,Female,IT,Chicago,1,53543.8,5,No
56,Male,HR,Los Angeles,10,38386.41,1,Yes
26,Female,Sales,New York,4,42595.75,4,No
51,Female,IT,Houston,14,60965.26,4,No
39,Male,Marketing,Houston,13,56422.39,3,No
59,Male,HR,New York,15,48375.04,4,No
47,Male,HR,Houston,7,28341.74,1,Yes
30,Male,IT,Phoenix,3,47364.4,3,No
46,Male,Sales,Los Angeles,13,55320.8,2,No
39,Female,Marketing,Los Angeles,15,48119.82,4,Yes
59,Female,Sales,New York,12,47278.87,3,No
23,Female,Finance,Houston,2,43154.19,1,Yes
33,Female,Finance,Chicago,7,65929.63,5,No
48,Female,IT,Chicago,20,64567.15,5,No
40,Female,IT,Houston,8,44212.26,1,Yes
48,Female,IT,Chicago,20,62554.79,1,No
28,Male,Finance,New York,5,58568.7,5,No
59,Male,Sales,New York,15,52353.61,3,No
21,Female,Sales,Houston,0,38514.42,5,No
23,Female,IT,Chicago,2,45835.0,1,Yes
