Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Houston,City_Los Angeles,City_New York,City_Phoenix
43.0,1,3.0,42047.59,1,0,0,1,0,0,0,0,0,0
53.0,0,22.0,66622.84,2,0,0,0,0,0,0,0,0,1
34.0,0,9.0,53280.7,4,0,0,1,0,0,0,0,0,0
41.0,0,14.0,51438.53,3,0,0,0,0,0,0,0,1,0
40.0,0,6.0,42157.88,3,0,0,0,0,0,0,0,0,0
28.0,0,3.0,41603.3,3,0,1,0,0,0,0,0,1,0
27.0,0,4.0,43336.99,4,0,1,0,0,0,1,0,0,0
23.0,1,1.0,48033.8,5,0,0,0,0,0,0,0,0,1
37.0,1,11.0,52355.98,5,0,0,0,0,0,0,0,1,0
53.0,0,10.0,51138.45,2,0,0,1,0,0,0,0,0,0
32.0,0,6.0,56716.37,5,0,0,1,0,0,0,0,0,1
42.0,0,10.0,53672.68,5,0,1,0,0,0,1,0,0,0
42.0,1,11.0,50983.86,3,0,0,0,0,1,0,0,0,1
50.0,0,18.0,62708.24,3,1,0,1,0,0,0,0,1,0
43.0,1,20.0,61895.47,2,0,0,1,0,0,1,0,0,0
58.0,0,21.0,59146.9,1,0,1,0,0,0,0,0,0,0
28.0,0,4.0,44127.0,2,0,0,1,0,0,1,0,0,0
47.0,1,13.0,51953.05,2,0,0,0,0,0,1,0,0,0
47.0,1,19.0,62880.57,4,0,0,0,0,0,0,1,0,0
54.0,0,8.0,50570.82,4,1,0,0,1,0,1,0,0,0
41.0,0,12.0,45644.56,2,0,0,0,0,1,1,0,0,0
50.0,0,17.0,53092.87,2,0,0,0,1,0,0,0,0,1
53.0,1,22.0,55959.64,2,0,1,0,0,0,0,0,0,0
48.0,1,16.0,63422.57,5,0,0,1,0,0,0,0,0,1
53.0,1,24.0,62919.92,4,0,1,0,0,0,0,0,0,1
25.0,1,3.0,41218.74,2,0,0,0,0,0,0,0,1,0
39.0,1,8.0,41731.7,3,0,0,0,1,0,0,0,0,1
24.0,1,1.0,39948.42,3,1,0,0,1,0,0,1,0,0
55.0,0,17.0,52510.98,5,0,0,0,1,0,0,1,0,0
37.0,0,7.0,39070.79,5,0,1,0,0,0,0,0,1,0
48.0,1,17.0,58481.33,1,0,0,0,0,0,0,0,0,0
50.0,0,10.0,68245.88,1,1,0,1,0,0,0,0,0,0
49.0,0,9.0,48882.79,1,0,0,1,0,0,0,0,0,1
26.0,1,2.0,40227.72,5,0,1,0,0,0,0,0,0,1
55.0,0,14.0,60322.14,5,0,0,0,1,0,0,0,0,1
57.0,1,25.0,64167.85,5,0,0,0,0,1,0,0,0,0
44.0,1,14.0,44446.51,3,0,1,0,0,0,1,0,0,0
49.0,0,9.0,52380.55,5,0,1,0,0,0,0,1,0,0
51.0,1,24.0,67436.15,3,0,0,0,0,0,1,0,0,0
55.0,1,25.0,70209.51,1,0,0,1,0,0,1,0,0,0
53.0,1,8.0,31238.94,1,0,1,0,0,0,0,0,0,0
41.0,1,13.0,38947.3,1,0,1,0,0,0,1,0,0,0
52.0,1,22.0,57357.33,2,1,0,0,1,0,0,0,1,0
43.0,1,10.0,47570.69,2,0,0,0,1,0,0,0,0,1
53.0,1,9.0,54737.99,4,0,0,0,0,1,0,0,1,0
23.0,1,1.0,48449.27,4,0,0,0,0,0,0,1,0,0
38.0,0,5.0,48208.62,4,0,0,0,0,1,0,0,0,1
45.0,0,18.0,51942.39,2,0,0,1,0,0,1,0,0,0
51.0,0,24.0,51942.380000000005,2,0,0,1,0,0,0,1,0,0
23.0,1,1.0,37337.91,4,0,0,0,1,0,0,0,0,1
44.0,1,9.0,56786.08,4,0,0,1,0,0,1,0,0,0
52.0,0,11.0,49498.76,5,0,0,0,1,0,0,0,1,0
42.0,0,8.0,56539.11,4,0,0,0,0,0,0,0,0,1
43.0,0,17.0,61001.93,5,0,0,0,0,0,1,0,0,0
22.0,1,0.0,47575.26,3,1,0,0,0,0,0,0,1,0
47.0,0,11.0,53298.42,2,0,0,0,0,0,0,1,0,0
22.0,0,0.0,51942.380000000005,4,0,0,0,0,0,0,1,0,0
46.0,1,15.0,57525.92,2,0,0,1,0,0,0,1,0,0
37.0,0,8.0,47699.86,2,0,0,0,0,1,0,1,0,0
53.0,1,22.0,52181.37,2,0,1,0,0,0,0,0,0,0
29.0,1,3.0,42298.43,3,0,0,0,0,1,0,0,0,1
59.0,1,27.0,66273.0,1,0,0,0,0,0,0,0,0,1
49.0,0,17.0,58841.12,4,0,0,1,0,0,0,0,0,0
46.0,0,8.0,36129.5,1,1,0,0,1,0,1,0,0,0
55.0,1,17.0,60749.44,1,0,0,1,0,0,1,0,0,0
45.0,0,18.0,56715.65,1,0,0,0,0,0,0,1,0,0
44.0,0,18.0,59128.29,2,0,0,1,0,0,0,0,1,0
33.0,0,6.0,53752.06,5,0,0,1,0,0,1,0,0,0
27.0,0,3.0,42456.04,2,0,0,0,0,0,0,0,1,0
56.0,1,28.0,71450.2,2,0,0,1,0,0,0,0,0,1
40.0,0,11.0,44430.14,1,1,1,0,0,0,0,0,1,0
21.0,1,0.0,28182.62375,2,0,1,0,0,0,0,0,0,1
28.0,1,6.0,53551.34,1,0,0,1,0,0,0,0,0,0
36.0,0,6.0,54066.8,5,0,0,0,1,0,0,0,0,0
34.0,1,8.0,45077.38,4,0,0,0,0,0,0,1,0,0
32.0,0,4.0,40343.71,1,1,1,0,0,0,1,0,0,0
43.0,0,6.0,52920.88,5,0,0,0,1,0,0,1,0,0
35.0,1,6.0,54501.78,4,0,0,1,0,0,0,0,0,1
48.0,1,19.0,51461.33,3,0,0,0,1,0,0,1,0,0
54.0,1,14.0,53560.91,1,0,0,0,0,1,0,0,1,0
22.0,1,0.0,31235.08,1,1,1,0,0,0,0,0,0,1
52.0,0,12.0,60195.52,3,0,0,1,0,0,0,0,0,0
43.0,0,10.0,64876.81,3,0,0,0,0,0,1,0,0,0
42.0,0,18.0,60307.35,1,0,0,1,0,0,0,0,0,1
45.0,1,13.0,53282.46,3,0,0,0,0,0,0,0,0,1
42.0,1,12.0,54457.08,2,0,0,1,0,0,0,0,1,0
42.0,1,16.0,52842.22,4,0,0,0,1,0,1,0,0,0
26.0,0,3.0,45383.96,4,0,0,0,1,0,0,0,0,0
35.0,1,5.0,42325.73,4,0,0,0,1,0,0,0,0,1
57.0,0,10.0,51942.380000000005,2,0,0,0,0,1,0,0,0,1
53.0,1,14.0,51942.380000000005,3,0,0,0,0,0,0,0,1,0
28.0,0,10.0,51942.380000000005,5,0,0,0,1,0,0,1,0,0
25.0,0,2.0,43207.02,3,0,0,0,0,1,0,0,0,0
59.0,1,28.0,56060.85,1,1,0,0,0,0,1,0,0,0
24.0,1,1.0,50788.29,4,0,0,1,0,0,0,0,0,1
26.0,0,3.0,43267.2,3,0,0,0,0,1,0,0,0,1
52.0,0,19.0,55990.03,5,0,1,0,0,0,0,0,0,0
50.0,1,14.0,57614.52,1,0,0,0,0,1,0,1,0,0
55.0,1,26.0,66933.91,2,0,0,0,0,1,0,0,0,1
36.0,0,9.0,46564.39,2,0,0,0,0,0,0,0,0,0
33.0,1,10.0,59102.95,5,0,0,1,0,0,0,0,1,0
50.0,0,20.0,56177.99,1,0,0,1,0,0,0,1,0,0
39.0,0,10.0,50828.08,4,0,0,0,1,0,1,0,0,0
37.0,1,10.0,48595.77,3,0,0,0,1,0,0,0,0,1
39.0,1,10.0,47053.39,1,0,0,0,0,1,0,0,0,0
48.0,1,15.0,48306.74,2,0,0,0,0,0,0,0,1,0
46.0,1,18.0,65352.52,5,0,0,0,0,0,1,0,0,0
57.0,1,11.0,52494.35,5,1,0,0,1,0,0,0,0,0
46.0,0,11.0,52770.62,3,0,1,0,0,0,0,0,0,0
43.0,0,6.0,58034.91,5,0,0,1,0,0,1,0,0,0
29.0,1,6.0,45509.56,5,0,1,0,0,0,0,0,1,0
32.0,1,5.0,46589.5,1,1,0,1,0,0,0,0,1,0
21.0,1,0.0,44893.54,4,0,0,0,1,0,0,1,0,0
21.0,0,0.0,51942.380000000005,3,0,0,1,0,0,0,0,0,1
54.0,1,24.0,60207.22,1,0,0,0,0,0,1,0,0,0
52.0,1,10.0,66397.19,4,0,0,0,0,1,1,0,0,0
45.0,0,18.0,57062.78,1,0,0,0,0,1,1,0,0,0
21.0,0,0.0,36184.66,1,1,0,0,1,0,0,0,1,0
36.0,1,7.0,55827.07,5,0,0,0,0,0,0,0,0,1
59.0,1,22.0,60466.16,4,0,0,1,0,0,0,1,0,0
43.0,1,2.0,44261.03,3,0,0,0,0,0,0,0,0,0
42.0,0,8.0,47424.2,3,1,0,0,0,1,0,0,0,0
49.0,1,15.0,51942.380000000005,4,0,0,1,0,0,1,0,0,0
23.0,1,10.0,48770.88,5,0,0,0,0,0,0,0,0,1
32.0,1,5.0,52534.71,2,0,0,0,0,0,0,0,1,0
46.0,0,15.0,46138.51,1,1,0,0,0,1,0,0,0,1
36.0,0,12.0,49645.13,5,0,1,0,0,0,0,0,0,1
57.0,1,21.0,55732.8,4,0,0,0,1,0,0,0,1,0
43.0,1,14.0,41616.36,1,0,0,0,1,0,1,0,0,0
49.0,0,21.0,63802.91,3,0,0,0,0,0,0,0,0,1
34.0,0,11.0,44379.56,2,0,0,0,1,0,0,0,0,0
48.0,0,17.0,63796.76,3,0,0,0,0,1,0,0,1,0
25.0,0,3.0,44518.61,4,0,0,0,0,1,0,1,0,0
50.0,0,24.0,68157.59,1,0,0,0,0,0,1,0,0,0
25.0,0,3.0,53522.03,4,0,0,0,0,0,0,0,1,0
43.0,0,4.0,51942.380000000005,1,1,0,0,0,0,0,1,0,0
36.0,0,7.0,56090.54,5,0,1,0,0,0,0,1,0,0
